Image.Var,Image.Skew,Image.Curt,Entropy,Class
0.049175,6.1437,1.7828,-0.72113,0
-1.366,0.18416,0.90539,1.5806,1
4.3239,-4.8835,3.4356,-0.5776,0
-1.4572,9.1214,1.7425,-5.1241,0
-2.2214,-0.23798,0.56008,0.05602,1
2.0911,0.94358,4.5512,1.234,0
4.4069,10.9072,-4.5775,-4.4271,0
0.89606,10.5471,-1.4175,-4.0327,0
3.8905,-2.1521,2.6302,1.1047,0
-0.014902,-1.0243,-0.94024,0.64955,1
-1.2424,-1.7175,-0.52553,-0.21036,1
2.8672,10.0008,-3.2049,-3.1095,0
-0.82601,2.9611,-1.2864,-1.4647,1
-5.0301,7.5032,-0.13396,-7.5034,1
4.8265,0.80287,1.6371,1.1875,0
2.5559,3.3605,2.0321,0.26809,0
-1.7582,2.7397,-2.5323,-2.234,1
1.3403,4.1323,-4.7018,-2.5987,1
2.4673,1.3926,1.7125,0.41421,0
1.8373,6.1292,0.84027,0.55257,0
-2.0631,-1.5147,1.219,0.44524,1
5.3915,9.9946,-3.8081,-3.3642,0
-2.8957,-12.0205,11.9149,-2.7552,1
-1.8411,10.8306,2.769,-3.0901,0
-3.8953,4.0392,-0.3019,-2.1836,1
-4.0218,-8.304,12.555,-1.5099,1
0.25943,5.0097,-5.0394,-6.3862,1
3.966,3.9213,0.70574,0.33662,0
3.9232,-3.2467,3.4579,0.83705,0
4.8451,8.1116,-2.9512,-1.4724,0
-4.0214,-12.8006,15.6199,-0.95647,1
0.49665,5.527,1.7785,-0.47156,0
3.2704,6.9321,-1.0456,0.23447,0
3.3848,3.2674,0.90967,0.25128,0
4.1605,11.2196,-3.6136,-4.0819,0
0.58836,10.7727,-1.3884,-4.3276,0
1.7748,-0.76978,5.5854,1.3039,0
3.3397,-4.6145,3.9823,-0.23751,0
-2.3142,2.0838,-0.46813,-1.6767,1
-0.62684,-6.301,4.7843,1.106,1
-3.2778,1.8023,0.1805,-2.3931,1
-3.9172,2.6652,0.78886,-0.7819,1
-2.5665,-6.8824,7.5416,0.70774,1
2.9499,2.2493,1.3458,-0.037083,0
-4.7331,-6.1789,11.388,-1.0741,1
4.7926,1.7071,-0.051701,1.4926,0
3.583,-3.7971,3.4391,-0.12501,0
-0.048008,-1.6037,8.4756,0.75558,0
-1.4174,-2.2535,1.518,0.61981,1
0.040498,8.5234,1.4461,-3.9306,0
1.8994,0.97462,4.2265,0.81377,0
5.0214,8.0764,-3.0515,-1.7155,0
1.5799,-4.7076,7.9186,-1.5487,0
-0.91318,-2.0113,-0.19565,0.066365,1
5.2756,0.13863,0.12138,1.1435,0
-0.69078,-0.50077,-0.35417,0.47498,1
-1.7479,-5.823,5.8699,1.212,1
-0.29858,2.4769,-2.9512,-0.66165,1
-3.5637,-8.3827,12.393,-1.2823,1
-0.3481,-0.38696,-0.47841,0.62627,1
1.0009,7.7846,-0.28219,-2.6608,0
-0.60254,1.7237,-2.1501,-0.77027,1
0.54777,10.3754,-1.5435,-4.1633,0
4.2406,-2.4852,1.608,0.7155,0
-1.7263,-6.0237,5.2419,0.29524,1
1.7875,4.78,-5.1362,-3.2362,1
-3.1273,-7.1121,11.3897,-0.083634,1
1.518,5.6946,0.094818,-0.026738,0
1.6472,0.48213,4.7449,1.225,0
4.1038,-4.8069,3.3491,-0.49225,0
4.0026,-3.5943,3.5573,0.26809,0
3.82,10.9279,-4.0112,-5.0284,0
1.0652,8.3682,-1.4004,-1.6509,0
1.8967,-2.5163,2.8093,-0.79742,0
2.2893,3.733,0.6312,-0.39786,0
0.518,0.25865,-0.84085,0.96118,1
-0.24037,-1.7837,2.135,1.2418,1
-1.1391,1.8127,6.9144,0.70127,0
1.4501,3.6067,-4.0557,-1.5966,1
-3.0986,-10.4602,8.9717,-2.3427,1
2.0165,-0.25246,5.1707,1.0763,0
1.162,10.2926,-1.2821,-4.0392,0
-1.2576,1.5892,7.0078,0.42455,0
-2.1802,3.3791,-1.2256,-2.6621,1
-2.4198,-0.24418,0.70146,0.41809,1
2.5367,2.599,2.0938,0.20085,0
-0.0068919,9.2931,-0.41243,-1.9638,0
4.1195,10.9258,-3.8929,-4.1802,0
3.0242,-3.3378,2.5865,-0.54785,0
1.8533,6.1458,1.0176,-2.0401,0
1.941,0.46351,4.6472,1.0879,0
-3.1158,-8.6289,10.4403,0.97153,1
2.6719,3.0646,0.37158,0.58619,0
-1.7599,11.9211,2.6756,-3.3241,0
3.9262,6.0299,-2.0156,-0.065531,0
3.8023,-3.8696,4.044,0.95343,0
2.9695,5.6222,0.27561,-1.1556,0
-1.1667,-1.4237,2.9241,0.66119,1
3.106,9.5414,-4.2536,-4.003,0
3.1541,-5.1711,6.5991,0.57455,0
-1.3971,3.3191,-1.3927,-1.9948,1
-1.9881,0.99945,-0.28562,-0.70044,1
1.8799,2.4707,2.4931,0.37671,0
5.4188,10.1457,-4.084,-3.6991,0
-6.9599,8.9931,0.2182,-4.572,1
5.8519,5.3905,-2.4037,-0.061652,0
-1.7101,-8.7903,7.9735,-0.45475,1
4.8278,7.7598,-2.4491,-1.2216,0
-1.3931,1.5664,7.5382,0.78403,0
2.0421,1.2436,4.2171,0.90429,0
-0.83121,0.039307,0.05369,-0.23105,1
-3.0866,-6.6362,10.5405,-0.89182,1
-1.8584,7.886,-1.6643,-1.8384,0
1.4276,8.3847,-2.0995,-1.9677,0
0.47368,3.3605,-4.5064,-4.0431,1
-2.2183,-1.254,2.9986,0.36378,1
-2.799,1.9679,-0.42357,-2.1125,1
1.143,0.83391,5.4552,-0.56984,0
4.2586,11.2962,-4.0943,-4.3457,0
-1.5572,-9.8808,8.1088,-1.0806,1
-3.3863,-12.9889,13.0545,-2.7202,1
1.3049,-0.15521,6.4911,-0.75346,0
-2.3361,11.9604,3.0835,-5.4435,0
-3.8053,2.4273,0.6809,-1.0871,1
2.0962,2.4769,1.9379,-0.040962,0
-1.4217,11.6542,-0.057699,-7.1025,0
-1.749,-6.332,6.0987,0.14266,1
0.26877,4.987,-5.1508,-6.3913,1
5.086,3.2798,-1.2701,1.1189,0
-4.0679,2.4955,0.79571,-1.1039,1
-4.577,3.4515,0.66719,-0.94742,1
2.5089,6.841,-0.029423,0.44912,0
